Key_,County,Precinct,Population,White Single Race,Black Single Race,Native American Single Race,Asian Pacific Islander Single Race,Other Single Race,Multi Race,Hispanic,Non Hispanic,Any Part Black,Any Part Native American,Any Part Black or Native American,,Hispanic White Single Race,Hispanic Other Single Race,PL00VA_TOT,White Single Race,REG00G_TOT,White,Black,Native American,Other,Democrat,Republican,Liberitarian,Unaffiliated,White Democrat,White Republican,WhiteLibertarian,White Unaffiliated,Black Democrat,Black Republican,Black Libertarian,Black Unaffiliated,Native American Democrat,Native American Republican,Native American Libretarian,Nnative American Unaffiliated,Other Democrat,Other Republican,Other Libretarian,Other Unaffiliated,Male,Female,18-25,26-40,41-65,66+
37.001.0001,Alamance,PATTERSON,4001,3579,348,9,13,33,19,76,3925,357,16,1,1,43,31,3007,2713,2224,2027,194,0,3,841,1048,2,333,662,1043,2,320,178,4,0,12,0,0,0,0,1,1,0,1,1047,1177,192,711,955,366
37.001.0002,Alamance,COBLE,3390,3264,81,9,6,7,23,34,3356,84,20,1,2,24,7,2627,2539,2301,2252,42,0,7,866,1090,0,345,829,1083,0,340,36,2,0,4,0,0,0,0,1,5,0,1,1105,1196,198,646,1073,384
37.001.0003,Alamance,MORTON,5084,4360,638,12,15,23,36,55,5029,643,32,3,5,21,17,3796,3263,3182,2809,353,0,20,1427,1222,1,532,1103,1205,1,500,315,12,0,26,0,0,0,0,9,5,0,6,1491,1691,284,967,1504,427
37.001.0004,Alamance,FAUCETTE,3241,2984,202,11,4,12,28,45,3196,209,29,0,1,32,12,2539,2354,1905,1805,99,0,1,841,772,1,291,756,766,0,283,84,6,1,8,0,0,0,0,1,0,0,0,916,989,160,551,917,277
37.001.0005,Alamance,ALBRIGHT,3400,3193,151,10,4,26,16,58,3342,154,15,4,1,28,26,2621,2466,2211,2106,102,0,3,944,903,1,363,848,897,1,360,94,5,0,3,0,0,0,0,2,1,0,0,1051,1160,212,707,978,314
37.001.0006,Alamance,PLEASANT GROVE,3732,1903,1699,32,2,63,33,121,3611,1713,38,6,4,51,62,2807,1381,2128,1028,1096,0,4,1424,465,1,238,403,442,0,183,1019,23,1,53,0,0,0,0,2,0,0,2,973,1155,167,655,932,374
37.001.0007,Alamance,HAW RIVER,5299,3023,1802,26,21,365,62,586,4713,1795,46,3,19,168,363,3982,2349,2980,1887,1079,0,14,1849,747,2,382,873,695,2,317,971,48,0,60,0,0,0,0,5,4,0,5,1345,1635,275,925,1289,491
37.001.0008,Alamance,BOONE 5,4476,3973,387,7,31,36,42,96,4380,391,22,6,5,51,32,3787,3404,2502,2324,157,0,21,1004,973,3,522,868,963,3,490,126,3,0,28,0,0,0,0,10,7,0,4,1167,1335,428,742,902,430
37.001.0009,Alamance,CENTRAL BOONE,2598,2429,102,5,27,10,25,34,2564,105,9,2,1,21,10,1982,1855,2165,2065,78,0,22,952,939,3,271,873,929,3,260,70,1,0,7,0,0,0,0,9,9,0,4,1025,1140,193,433,1073,466
37.001.0010,Alamance,NORTH BOONE,4786,4287,414,2,53,10,20,53,4733,419,7,2,5,38,5,3950,3581,2650,2373,254,0,23,1028,1084,1,537,799,1068,0,506,217,8,1,28,0,0,0,0,12,8,0,3,1262,1388,460,808,1071,311
