State,County,White,Black,Native American,Male,Female,18-25,26-45,46-65,65+,Republican,Democrat
North Carolina,Alamance,98900,24544,462,35735,43154,7326,24750,33225,13588,0,36
North Carolina,Alexander,30915,1557,50,8280,10021,1365,6213,8138,2585,0,16
North Carolina,Alleghany,10217,131,28,3353,3849,519,1713,3256,1714,0,7
North Carolina,Anson,12519,12295,113,6348,8354,1480,4335,5971,2916,0,11
North Carolina,Ashe,22331,146,73,8406,9524,1319,4488,7657,4466,0,16
North Carolina,Avery,16129,598,58,5767,6137,1139,3620,4843,2302,0,19
North Carolina,Beaufort,30161,11613,65,11589,14453,2351,6535,11535,5621,0,20
North Carolina,Bertie,7178,12326,87,5922,8330,1450,3886,5760,3156,0,12
North Carolina,Bladen,18469,12235,657,8129,10223,1369,5022,8227,3734,0,17
North Carolina,Brunswick,60200,10516,494,22901,26337,3629,11919,23457,10233,0,23
North Carolina,Buncombe,153821,19470,740,54166,67615,12512,35745,52039,23922,0,59
North Carolina,Burke,76678,5984,270,23935,28060,4426,15725,22853,8991,0,31
North Carolina,Cabarrus,109127,15961,443,40044,46796,8251,30086,36678,11825,0,42
North Carolina,Caldwell,60477,4121,140,14125,16500,3401,9339,13066,4819,0,21
North Carolina,Camden,5551,1189,29,2458,2683,443,1468,2377,853,0,3
North Carolina,Carteret,50863,4141,254,17672,20314,2956,9447,18006,7577,0,32
North Carolina,Caswell,14352,8583,45,6343,7900,1156,4066,6560,2461,0,11
North Carolina,Catawba,107371,11198,334,38372,45662,7778,27565,35326,13365,0,37
North Carolina,Chatham,36969,8422,201,14656,17541,2139,9566,14177,6315,0,23
North Carolina,Cherokee,12736,42,185,4673,5239,796,2492,4411,2213,0,10
North Carolina,Chowan,8794,5450,43,3845,4822,737,2126,3754,2050,0,6
North Carolina,Clay,6021,29,12,2410,2637,354,1180,2275,1238,0,7
North Carolina,Cleveland,71076,19883,141,22718,27678,5253,14887,21954,8302,0,26
North Carolina,Columbus,34737,16934,1706,16396,20235,3789,10828,15807,6207,0,26
North Carolina,Craven,63952,22966,388,25684,31463,4590,15945,25286,11326,0,26
North Carolina,Cumberland,167093,105731,4691,66512,82584,20000,59653,58045,11398,0,65
North Carolina,Currituck,16445,1318,83,5442,6219,1229,3387,5286,1759,0,11
North Carolina,Dare,28393,797,83,9535,10465,1373,5641,9614,3372,0,17
North Carolina,Davidson,50783,1455,169,13110,16794,2913,9958,13931,3102,0,16
North Carolina,Davie,27576,1657,69,7675,8671,1214,4481,7818,2833,0,12
North Carolina,Duplin,28785,14198,113,10386,13513,2561,6687,10328,4323,0,19
North Carolina,Franklin,27142,10564,192,9958,11677,1997,7527,9238,2873,0,14
North Carolina,Gaston,149296,25370,502,47880,58079,9625,34417,45402,16515,0,44
North Carolina,Graham,1812,3,28,699,709,118,339,624,327,0,2
North Carolina,Granville,28675,16031,221,10300,13439,1995,7734,10279,3731,0,13
North Carolina,Greene,9835,7820,57,4482,5659,1031,2824,4452,1834,0,10
North Carolina,Halifax,24424,30151,1801,10928,15922,1506,7913,11939,5492,0,30
North Carolina,Harnett,58967,19029,748,16269,19990,3924,12377,14496,5462,0,20
North Carolina,Haywood,35533,363,175,11824,13574,1778,6874,11109,5637,0,21
North Carolina,Henderson,82505,2725,245,29844,35573,4763,16184,25183,19287,0,34
North Carolina,Hertford,8464,13459,269,6312,8784,1373,4133,6476,3114,0,14
North Carolina,Hoke,14982,12664,3852,7174,9528,1917,6046,6708,2031,0,13
North Carolina,Hyde,2947,1647,17,1307,1583,188,708,1309,685,0,6
North Carolina,Iredell,100785,16762,328,31878,36279,5461,24404,30660,7632,0,25
North Carolina,Jackson,26528,544,3338,10230,11430,2768,6649,8846,3397,0,15
North Carolina,Johnston,80697,17663,416,25410,29938,4535,19936,23403,7474,0,30
North Carolina,Jones,6329,3724,37,2677,3383,522,1644,2712,1182,0,7
North Carolina,Lee,34343,10032,206,12681,15525,2841,8276,12168,4921,0,12
North Carolina,Lenoir,33685,24115,106,13959,19266,2793,9163,14757,6512,0,22
North Carolina,Lincoln,57557,4108,172,19361,21551,3663,13159,18183,5907,0,21
North Carolina,McDowell,38853,1753,122,11998,13887,2500,7697,11144,4544,0,17
North Carolina,Macon,28969,357,84,10062,11652,1775,4940,9501,5498,0,15
North Carolina,Madison,19169,162,53,6042,6450,1363,3525,5383,2221,0,12
North Carolina,Martin,13447,11611,74,7136,9548,1700,4672,7127,3185,0,13
North Carolina,Mecklenburg,428059,184667,2334,201946,240348,40561,173722,181378,46633,0,179
North Carolina,Mitchell,15353,34,70,5229,5794,775,2938,4719,2591,0,9
North Carolina,Montgomery,18527,5857,108,7039,8409,1349,4284,6805,3010,0,14
North Carolina,Moore,57744,11323,496,22897,27247,3879,11919,19813,14533,0,22
North Carolina,Nash,51092,27685,363,23404,28947,4647,16679,22182,8843,0,24
North Carolina,Northampton,8633,13125,71,5908,7881,1302,3701,5869,2917,0,18
North Carolina,Onslow,107333,27691,1091,24182,30087,7323,17977,22291,6678,0,23
North Carolina,Orange,92272,16298,457,48071,58173,16344,40483,39503,9914,0,44
North Carolina,Pamlico,9464,3178,68,4054,4995,655,2035,4190,2169,0,8
North Carolina,Pasquotank,9785,3181,66,3744,4185,683,2241,3685,1320,0,4
