"Key_","County","Precinct","PL00AA_TOT","PL00AA_W_SR","PL00AA_B_SR","PL00AA_NA_SR","PL00AA_API_SR","PL00AA_O_SR","PL00AA_MR","PL00AA_HISP","PL00AA_NONHISP","PL00AA_AP_B","PL00AA_AP_NA","PL00AA_AP_BNA","PL00AA_H_AP_B","PL00AA_HW_SR","PL00AA_HO_SR","PL00VA_TOT","PL00VA_W_SR","PL00VA_B_SR","PL00VA_NA_SR","PL00VA_API_SR","PL00VA_O_SR","PL00VA_MR","PL00VA_HISP","PL00VA_NONHISP","PL00VA_AP_B","PL00VA_AP_NA","PL00VA_AP_BNA","PL00VA_H_AP_B","PL00VA_HW_SR","PL00VA_HO_SR","REG00G_TOT","REG00G_W","REG00G_B","REG00G_NA","REG00G_O","REG00G_D","REG00G_R","REG00G_L","REG00G_U","REG00G_WD","REG00G_WR","REG00G_WL","REG00G_WU","REG00G_BD","REG00G_BR","REG00G_BL","REG00G_BU","REG00G_NAD","REG00G_NAR","REG00G_NAL","REG00G_NAU","REG00G_OD","REG00G_OR","REG00G_OL","REG00G_OU","REG00G_M","REG00G_F","REG00G_1825","REG00G_2640","REG00G_4165","REG00G_66UP","EL98G_USS_D","EL98G_USS_R","EL98G_USS_L","EL00P_SA_D_RC","EL00P_SA_D_PC","EL00P_GOV_D_ME","EL00P_GOV_D_DW","EL00P_GOV_D_O","EL00P_GOV_R_LD","EL00P_GOV_R_AM","EL00P_GOV_R_CN","EL00P_GOV_R_RV","EL00G_GOV_D","EL00G_GOV_R","EL00G_GOV_O","EL00G_CJ_D","EL00G_CJ_R","EL00G_SA_D","EL00G_SA_R","EL00G_USH_D","EL00G_USH_R","EL00G_USH_O","EL00G_NCH_D","EL00G_NCH_R","EL00G_NCH_T","EL00G_NCS_D","EL00G_NCS_R","EL00G_NCS_T"
"37.001.0001","Alamance","PATTERSON",4001,3579,348,9,13,33,19,76,3925,357,16,1,1,43,31,3007,2713,261,8,8,12,5,38,2969,263,10,0,1,25,12,2224,2027,194,0,3,841,1048,2,333,662,1043,2,320,178,4,0,12,0,0,0,0,1,1,0,1,1047,1177,192,711,955,366,263,534,16,54,54,87,42,9,73,2,23,60,452,729,17,448,723,381,733,0,947,57,412,769,0,370,800,0
"37.001.0002","Alamance","COBLE",3390,3264,81,9,6,7,23,34,3356,84,20,1,2,24,7,2627,2539,57,7,6,5,13,21,2606,57,14,1,2,13,5,2301,2252,42,0,7,866,1090,0,345,829,1083,0,340,36,2,0,4,0,0,0,0,1,5,0,1,1105,1196,198,646,1073,384,286,649,21,86,70,120,64,7,121,3,23,65,384,796,24,390,790,344,783,0,1032,63,359,849,0,316,865,0
"37.001.0003","Alamance","MORTON",5084,4360,638,12,15,23,36,55,5029,643,32,3,5,21,17,3796,3263,473,9,11,18,22,42,3754,475,22,3,4,16,15,3182,2809,353,0,20,1427,1222,1,532,1103,1205,1,500,315,12,0,26,0,0,0,0,9,5,0,6,1491,1691,284,967,1504,427,427,713,26,109,116,151,112,10,90,3,20,58,671,907,23,667,896,589,896,0,1136,72,640,982,0,581,991,0
"37.001.0004","Alamance","FAUCETTE",3241,2984,202,11,4,12,28,45,3196,209,29,0,1,32,12,2539,2354,148,9,3,8,17,33,2506,149,22,0,1,24,8,1905,1805,99,0,1,841,772,1,291,756,766,0,283,84,6,1,8,0,0,0,0,1,0,0,0,916,989,160,551,917,277,277,529,15,81,61,84,73,10,71,2,12,48,388,607,15,370,611,318,620,0,780,34,360,638,0,288,688,0
"37.001.0005","Alamance","ALBRIGHT",3400,3193,151,10,4,26,16,58,3342,154,15,4,1,28,26,2621,2466,118,7,3,16,11,35,2586,119,12,3,1,17,16,2211,2106,102,0,3,944,903,1,363,848,897,1,360,94,5,0,3,0,0,0,0,2,1,0,0,1051,1160,212,707,978,314,248,471,14,60,50,82,58,2,67,8,12,42,397,646,16,383,608,320,652,0,900,36,343,725,0,291,732,0
"37.001.0006","Alamance","PLEASANT GROVE",3732,1903,1699,32,2,63,33,121,3611,1713,38,6,4,51,62,2807,1381,1340,25,1,41,19,77,2730,1341,31,6,4,29,40,2128,1028,1096,0,4,1424,465,1,238,403,442,0,183,1019,23,1,53,0,0,0,0,2,0,0,2,973,1155,167,655,932,374,639,254,15,219,79,141,163,13,32,0,9,31,797,412,11,808,397,782,393,0,484,38,797,434,0,761,443,0
"37.001.0007","Alamance","HAW RIVER",5299,3023,1802,26,21,365,62,586,4713,1795,46,3,19,168,363,3982,2349,1328,16,12,241,36,375,3607,1322,27,1,11,104,240,2980,1887,1079,0,14,1849,747,2,382,873,695,2,317,971,48,0,60,0,0,0,0,5,4,0,5,1345,1635,275,925,1289,491,684,427,19,132,99,157,141,9,30,3,11,51,882,550,8,881,529,797,538,0,669,44,853,615,0,803,604,0
"37.001.0008","Alamance","BOONE 5",4476,3973,387,7,31,36,42,96,4380,391,22,6,5,51,32,3787,3404,296,6,24,26,31,70,3717,296,16,6,3,35,24,2502,2324,157,0,21,1004,973,3,522,868,963,3,490,126,3,0,28,0,0,0,0,10,7,0,4,1167,1335,428,742,902,430,314,522,23,54,72,97,69,9,71,4,11,68,449,617,29,455,596,379,610,0,783,71,407,669,0,371,683,0
"37.001.0009","Alamance","CENTRAL BOONE",2598,2429,102,5,27,10,25,34,2564,105,9,2,1,21,10,1982,1855,76,5,22,8,16,28,1954,75,7,2,1,17,8,2165,2065,78,0,22,952,939,3,271,873,929,3,260,70,1,0,7,0,0,0,0,9,9,0,4,1025,1140,193,433,1073,466,355,680,14,149,89,162,134,17,73,3,25,174,381,619,7,389,572,315,577,0,766,33,397,572,0,369,612,0
"37.001.0010","Alamance","NORTH BOONE",4786,4287,414,2,53,10,20,53,4733,419,7,2,5,38,5,3950,3581,317,2,34,7,9,34,3916,317,5,1,3,24,5,2650,2373,254,0,23,1028,1084,1,537,799,1068,0,506,217,8,1,28,0,0,0,0,12,8,0,3,1262,1388,460,808,1071,311,405,528,22,86,98,124,90,17,72,2,18,112,509,682,16,506,667,427,685,0,858,59,507,703,0,418,749,0
"37.001.0011","Alamance","SOUTH BOONE",4660,4100,307,9,115,77,52,151,4509,307,25,14,9,57,74,3836,3424,237,6,83,56,30,116,3720,233,18,9,8,46,55,3377,3141,186,0,50,1351,1423,1,602,1175,1401,1,564,155,5,0,26,0,0,0,0,21,17,0,12,1572,1805,373,987,1445,572,442,734,22,132,81,143,116,10,79,1,25,122,619,833,22,628,800,544,802,0,1037,67,603,868,0,537,899,0
"37.001.0012","Alamance","WEST BOONE",2406,2151,185,6,33,9,22,24,2382,187,9,2,3,10,7,1711,1546,121,5,23,7,9,16,1695,121,7,1,2,7,6,2166,2037,113,0,16,858,906,2,400,764,893,2,378,90,5,0,18,0,0,0,0,4,8,0,4,986,1180,160,552,853,601,374,443,17,93,76,110,116,13,76,1,9,121,548,628,19,542,593,476,604,0,777,43,514,666,0,478,677,0
