State,County,White,Black,Native American,Male,Female,18-25,26-45,46-65,65+,Republican,Democrat
North Carolina,Alamance,98900,24544,462,35735,43154,7326,24750,33225,13588,27,9
North Carolina,Alexander,30915,1557,50,8280,10021,1365,6213,8138,2585,16,0
North Carolina,Alleghany,10217,131,28,3353,3849,519,1713,3256,1714,7,0
North Carolina,Anson,12519,12295,113,6348,8354,1480,4335,5971,2916,2,9
North Carolina,Ashe,23691,162,79,8825,10007,1388,4711,8045,4688,14,3
North Carolina,Avery,16129,598,58,5767,6137,1139,3620,4843,2302,19,0
North Carolina,Beaufort,30161,11613,65,11589,14453,2351,6535,11535,5621,16,4
North Carolina,Bertie,7178,12326,87,5922,8330,1450,3886,5760,3156,1,11
North Carolina,Bladen,18469,12235,657,8129,10223,1369,5022,8227,3734,0,17
North Carolina,Brunswick,60200,10516,494,22901,26337,3629,11919,23457,10233,0,23
North Carolina,Cabarrus,109127,15961,443,40044,46796,8251,30086,36678,11825,28,14
North Carolina,Caldwell,60477,4121,140,14125,16500,3401,9339,13066,4819,17,4
North Carolina,Camden,5551,1189,29,2458,2683,443,1468,2377,853,3,0
North Carolina,Carteret,50863,4141,254,17672,20314,2956,9447,18006,7577,30,2
North Carolina,Caswell,14352,8583,45,6343,7900,1156,4066,6560,2461,2,9
North Carolina,Catawba,107371,11198,334,38372,45662,7778,27565,35326,13365,19,18
North Carolina,Chatham,17742,4188,98,6343,7445,1117,3943,6219,2509,1,10
North Carolina,Cherokee,9170,40,106,3443,3816,618,1836,3190,1615,2,4
North Carolina,Chowan,8794,5450,43,3845,4822,737,2126,3754,2050,3,3
North Carolina,Clay,6021,29,12,2410,2637,354,1180,2275,1238,1,6
North Carolina,Cleveland,71076,19883,141,22718,27678,5253,14887,21954,8302,20,6
North Carolina,Craven,63952,22966,388,25684,31463,4590,15945,25286,11326,16,10
North Carolina,Cumberland,161714,104970,4520,64783,80662,19647,58422,56243,11133,10,54
North Carolina,Currituck,16445,1318,83,5442,6219,1229,3387,5286,1759,11,0
North Carolina,Dare,28393,797,83,9535,10465,1373,5641,9614,3372,16,1
North Carolina,Davidson,108586,7308,426,28885,37724,6713,23253,29595,7048,24,10
North Carolina,Davie,27576,1657,69,7675,8671,1214,4481,7818,2833,12,0
North Carolina,Duplin,28785,14198,113,10386,13513,2561,6687,10328,4323,6,13
North Carolina,Franklin,25732,9311,171,9391,10957,1858,7115,8698,2677,0,13
North Carolina,Gaston,25672,2884,71,7489,9005,1370,5404,7056,2664,7,0
North Carolina,Graham,1812,3,28,699,709,118,339,624,327,0,2
North Carolina,Granville,22792,14838,204,8623,11390,1676,6303,8654,3380,0,12
North Carolina,Greene,9835,7820,57,4482,5659,1031,2824,4452,1834,4,6
